x	y	nGenes	nUMI	sid	3D_x	3D_y	3D_z	annotation	cid	index	sample
2872.0117924528304	12724.749410377359	749	3428	s79	541.5463428297095	1106.0	-3489.0208635173108	Epi	DP8400016191TL_E3	s79_cell57_254	s79
2927.8312537136067	12024.994652406416	717	3569	s79	-119.17142625029557	1106.0	-3251.9036705928916	Vm2	DP8400016191TL_E3	s79_cell58_240	s79
3024.120575221239	12925.098820058996	1024	5893	s79	774.7370426016296	1106.0	-3394.68600625368	Vm (comp.)	DP8400016191TL_E3	s79_cell60_258	s79
3224.3509192645884	11923.667466027178	603	2426	s79	-139.31259418416093	1106.0	-2939.197028334914	Vm2	DP8400016191TL_E3	s79_cell64_238	s79
3277.2034965034964	11824.032867132868	698	2757	s79	-221.62965345085982	1106.0	-2862.097417627028	Endo (V)	DP8400016191TL_E3	s79_cell65_236	s79
3323.408095554081	12124.651625746515	703	2953	s79	80.5980125465416	1106.0	-2896.228648334384	Vm1	DP8400016191TL_E3	s79_cell66_242	s79
3375.213895781638	13673.638213399503	754	4157	s79	1589.0957712909606	1106.0	-3251.8658251440174	Am	DP8400016191TL_E3	s79_cell67_273	s79
3479.9767441860463	11490.186046511628	143	386	s79	-490.72566806980836	1106.0	-2578.975492423702	Epi	DP8400016191TL_E3	s79_cell69_229	s79
3575.3258749282845	13421.57142857143	752	3513	s79	1398.2289891750027	1106.0	-2992.7281403194256	Am	DP8400016191TL_E3	s79_cell71_268	s79
3574.501872659176	12024.643258426966	540	2008	s79	49.83390504739854	1106.0	-2627.708019472082	Endo (V)	DP8400016191TL_E3	s79_cell71_240	s79
3574.775280898876	12925.187706543291	729	2955	s79	919.0234797199	1106.0	-2863.2708795876733	Vm2	DP8400016191TL_E3	s79_cell71_258	s79
3673.6647286821703	11824.03488372093	474	1847	s79	-117.80589696076272	1106.0	-2479.4720967019953	RBC	DP8400016191TL_E3	s79_cell73_236	s79
3773.4264419961114	12425.664938431626	689	2990	s79	488.95368663085287	1106.0	-2540.7414193215395	MC	DP8400016191TL_E3	s79_cell75_248	s79
3775.335499593826	12375.61657189277	553	2207	s79	441.1517948324775	1106.0	-2525.7927526714484	Vm1	DP8400016191TL_E3	s79_cell75_247	s79
3776.0452127659573	13675.636968085106	510	2953	s79	1695.990985029759	1106.0	-2865.5458114566422	RBC	DP8400016191TL_E3	s79_cell75_273	s79
3872.9184938036224	13927.586749285034	680	4406	s79	1964.5167567918525	1106.0	-2838.0315474238546	RBC (A)	DP8400016191TL_E3	s79_cell77_278	s79
3973.5758582502767	11673.734219269103	440	1651	s79	-184.32337914808343	1106.0	-2150.667595612157	Vm2	DP8400016191TL_E3	s79_cell79_233	s79
4073.7043103448277	13022.018965517242	363	2113	s79	1143.1307832851946	1106.0	-2407.1103972713595	RBC	DP8400016191TL_E3	s79_cell81_260	s79
4172.609756097561	11924.296747967479	414	1202	s79	109.61648279994482	1106.0	-2024.1945516937717	Vm (comp.)	DP8400016191TL_E3	s79_cell83_238	s79
4276.515358361775	11525.738339021615	455	1458	s79	-247.8234643546233	1106.0	-1819.543962392184	Epi	DP8400016191TL_E3	s79_cell85_230	s79
4473.3041054232135	13675.249873289407	813	4107	s79	1878.2094773508775	1106.0	-2192.5179262332863	RBC (A)	DP8400016191TL_E3	s79_cell89_273	s79
4677.863833896668	13520.527281506518	642	4777	s79	1782.4545872345425	1106.0	-1954.5793544548612	MC	DP8400016191TL_E3	s79_cell93_270	s79
2874.983251231527	12574.214285714286	911	4340	s79	397.0426108106283	1106.0	-3446.7322745463143	Vm1	DP8400016191TL_E3	s79_cell57_251	s79
2924.649311789348	12324.50867743866	749	3457	s79	169.05714157233635	1106.0	-3333.408692746985	Vm1	DP8400016191TL_E3	s79_cell58_246	s79
2974.0956913827654	12825.907815631263	809	4317	s79	665.9074452024457	1106.0	-3416.989886910798	Vm (comp.)	DP8400016191TL_E3	s79_cell59_256	s79
3176.145251396648	12073.819134078212	688	2960	s79	-7.024477445148898	1106.0	-3025.040863307191	MC	DP8400016191TL_E3	s79_cell63_241	s79
3177.381939304219	11774.076980014805	647	2795	s79	-295.9826193956257	1106.0	-2945.353470828328	Vm (comp.)	DP8400016191TL_E3	s79_cell63_235	s79
3274.8493661446682	12076.045488441461	557	2729	s79	20.971956259613066	1106.0	-2930.3642631265975	Endo (V)	DP8400016191TL_E3	s79_cell65_241	s79
3323.921495327103	12525.403738317757	722	3209	s79	467.4994469355561	1106.0	-3000.678633386383	Endo (V)	DP8400016191TL_E3	s79_cell66_250	s79
3424.821327683616	13424.875	622	2839	s79	1362.0044568340813	1106.0	-3138.845612177475	Am	DP8400016191TL_E3	s79_cell68_268	s79
3473.7925925925924	12724.05	471	2099	s79	698.4604482218442	1106.0	-2908.057367141924	RBC	DP8400016191TL_E3	s79_cell69_254	s79
3575.973037747154	12524.72079089275	718	3220	s79	532.8453924547149	1106.0	-2757.2441373556867	Vm1	DP8400016191TL_E3	s79_cell71_250	s79
3674.581723625557	13024.578751857354	695	2627	s79	1041.0824976786832	1106.0	-2792.9750615519342	Vm2	DP8400016191TL_E3	s79_cell73_260	s79
3678.524886877828	13473.6	480	2151	s79	1475.4667669689654	1106.0	-2906.755272542956	RBC (A)	DP8400016191TL_E3	s79_cell73_269	s79
3822.9963212752914	13474.76088289393	530	3222	s79	1514.420057736487	1106.0	-2767.629487210636	RBC	DP8400016191TL_E3	s79_cell76_269	s79
3924.7765801077903	13671.695247427731	759	4051	s79	1731.135292866585	1106.0	-2720.972527549198	MC	DP8400016191TL_E3	s79_cell78_273	s79
